Year,Date_MM_DD,Content,Vertical_Selftranscendence,Horizontal_Selftranscendence,Self_Actualization,Order,Well_Being
1856,03-26,"To Cambridge. I hear that Humphrey Buttrick found a whole covey of quails dead.' At Philadelphia, onth or two since, they offered a reward for live ones, more than market price, to preserve them. We have heard of an unusual quantity of ice in the course of the Liverpool packets this winter. Perhaps the Pacific has been sunk by one, as we hear that some other vessels have been. Yet the papers say it has been warmer about Lake Superior than in Kansas and that the lake will break up earlier than usual. I sometimes affected by the consideration that an may spend the whole of liis life after boyhood in accomplishing a particular design; as if he were put to a special and petty use, without taking time to look around him and appreciate the phenomenon of his existence. If so many purposes are thus necessarily left unaccomphshed, perhaps unthought of, we are reminded of the transient interest we have in this life. Our interest in our country, in the spread of liberty, etc., strong and, as it were, innate as it is, cannot be as transient as our present existence here. It cannot be that all those patriots who die in the midst of their career have no further connection with the career of their country.",1,1,,,1
1841,01-29,"They are like two boughs crossed in the wood, which play backwards and forwards upon one another in the wind, and only wear into each other, but never the sap of the one flows into the pores of the other, for then the wind would no more draw from them those strains which enchanted the wood. They are not two united, but rather one divided. Of all strange and unaccountable things this journalizing is the strangest. It will allow nothing to be predicated of it; its good is not good, nor its bad bad. If I make a huge effort to expose my innermost and richest wares to light, my counter seems cluttered with the meanest homemade stuffs; but after months or years I may discover the wealth of India, and whatever rarity is brought overland from Cathay, in that confused heap, and what perhaps seemed a festoon of dried apple or pumpkin will prove a string of Brazilian diamonds, or pearls from Coromandel. Men lie behind the barrier of a relation as effectually concealed as the landscape by ist; and when at length some unforeseen accident throws me into a new attitude to them, I astounded, as if for the first time I saw the sun on the hillside. They lie out before me like a new order of things.",,,,1,
1853,06-03,"Seen from Annursnack the woods now appear fullleafed, smooth green, no longer hoary, and the pines a dark mulberry, not green. But you are still covered with lint as you go through the copses. Summer begins when the hoariness disappears from the forest as you look down on it, and gives place thus to smooth green, full and universal. Butter-and-eggs just out. A small thorn with deep cut-lobed leaves, no flower, on this hill. May be a variety of the scarlet? White cedar now out of bloom. Is that rank grass by the Red Bridge, already between three and four feet high, wild oats ? The song of the robin and the chirp (?) of the chipbird now begin prominently to usher in and to conclude the day. The robin’s song seems not so loud as in the early spring, perhaps because there are so many other sounds at present.",,1,,,
1851,09-28,"Quoted Webster as saying that he had never eaten the bread of idleness for a single day, and thought that Lord Brougham might have said as much with truth while he was in the opposition, but he did not know that he could say as much of himself. However, he did not wish to be idle, he merely wished to rest. is so remarkable and singular. Here was a large hornets’ nest, which when I went to take and first knocked on it to see if anybody was at home, out came the whole swarm upon me lively enough. I do not know why they should linger longer than their Looked on Walden from the hill with the sawed pine stump on the north side. Scared up three black ducks, which rose with a great noise of their wings, striking the water. The hills this fall are unusually red, not only with the huckleberry, but the sumach and the blackberry vines. fellows whom I saw the other day, unless because the swamp is warmer. They were all within and not working, however. Walden plainly can never be spoiled by the woodchopper, for, do what you will to the shore, there will still remain this crystal well. The intense brilliancy of the red-ripe maples scattered here and there in the midst of the green oaks and hickories on its hilly shore' I picked up two arrowheads in the field beyond. What honest, homely, earth-loving, unaspiring houses they used to live in!",,,,,1
1853,03-03,"d, the rhodora. This morning, the ground being still covered with snow, there was quite a fog over the river and meadows, which I think owing to a warm atmosphere over the cold snow. so, I felt that it would be to make myself the laughing-stock of the scientific community to describe or attempt to describe to them that branch of science which specially interests me, inasmuch as they do not believe in a science which deals with the higher law. So I was obliged to speak to their condition and describe to them that poor part of me which alone they can understand. The fact is I ystic, a transcendentalist, and a natural philosopher to boot. Now I think of it, I should have told them at once that I was a transcendentalist. That would have been the shortest way of telling them that they would not understand my explanations. To Lee’s Hill. I pleased to cut the small woods with my knife to see their color. The high blueberry, hazel, and swamppink are green. I love to see the dear green sprouts of the sassafras and its large and fragrant buds and bark. The twigs or extremities of the branches of young trees twenty feet high look as if scorched and How absurd that, though I probably stand as near to nature as any of them, and by constitution as blackened. I gathered a pocketful of pignuts from a tree of Lee’s Hill. Still sound, half of them.",,1,,,
1859,11-28,"He had thus spent an hour or two and walked two or three miles in a cool November evening to pick up two quarts of pine chips scattered through the woods. He evidently takes real satisfaction in collecting his fuel, perhaps gets more heat of all kinds out of it than any man in town. He is not reduced to taking a walk for exercise as some are. It is one thing to oum a wood-lot as he does who perambulates its bounds almost daily, so as to have worn a path about it, and another to own one as many another does who hardly knows where it is. Evidently the quantity of chips in his basket is not essential; it is the chippy idea which he pursues. It is to him an unaccountably pleasing occupation. And no doubt he loves to see his pile grow at home. Think how variously men spend the same hour in the same village! The lawyer sits talking with his client in the twilight; the trader is weighing sugar and salt; while Abel Brooks is hastening home from the woods with his basket half full of chips. I think I should prefer to be with Brooks. He was literally as smiling as a basket of chips. A basket of chips, therefore, must have been regarded as a singularly pleasing (if not pleased) object.",,,1,,1
1851,10-07,", was made of three distinct boxes shaped like bread-troughs, excepting the bow piece, which was rounded, the gentle wind from time to time shakes down a golden dust from above, I shall see still the gray squirrel or the red, still cheery and lifesome, making tiny tracks over the snow-covered rails and riders, when the sun shines aslant between the stems of the pines. In our walks C. takes out his note-book sometimes Vide",,1,,,
1840,07-03,"When Alexander appears, the Hercynian and Dodonean woods seem to wave a welcome to him. Do not thoughts and men’s lives enrich the earth and change the aspect of things as much as a new growth of wood ? What are Godfrey and Gonsalvo unless we breathe a life into them, and reenact their exploits as a prelude to our own ? The past is only so heroic as we see it; it is the canvas on which our conception of heroism is painted, the dim prospectus of our future field. We are dreaming of what we are to do. The last sunrise I witnessed seemed to outshine the splendor of all preceding ones, and I was convinced that it behooved man to dawn as freshly, and with equal promise and steadiness advance into the career of life, with as lofty and serene a countenance to move onward through his midday to a yet fairer and more promising setting. Has the day grown old when it sets ? and shall man wear out sooner than the sun ? In the crimson colors of the west I discern the budding hues of dawn. To my western brother it is rising pure and bright as it did to me, but the evening exhibits in the still rear of day the beauty which through morning and noon escaped me.",1,,1,,
1842,02-23,"Wednesday. Every poet’s muse is circumscribed in her wanderings, and may be well said to haunt some favorite spring or mountain. Chaucer seems to have been the poet of gardens. He has hardly left a poem in which some retired and luxurious retreat It is the charm and greatness of all society, from friendship to the drawing-room, that it takes place on a level slightly higher than the actual characters of the parties would warrant; it is an expression of faith. True politeness is only hope and trust in men. It never addresses a fallen or falling man, but salutes a rising generation. It does not flatter, but only congratulates. The rays of light come to us in such a curve that every fellow in the street appears higher than he really is. It is the innate civility of nature. of the kind is not described, to which he gains access by some secret port, and there, by some fount or grove, is found his hero and the scene of his tale. It seems as if, by letting his imagination riot in the matchless beauty of an ideal garden, he thus fed his fancy on to the invention of a tale which would fit the scene. The muse of the most universal poet retires into some familiar nook, whence it spies out the land as the eagle from his eyrie, for he who sees so far over plain and forest is perched in a narrow cleft of the crag.",,,1,,
1856,10-18,"It is a rich sight, that of a large chestnut tree with a dome-shaped top, where the yellowing leaves have become thin, — for most now strew the ground evenly as a carpet throughout the chestnut woods and so save some seed, — all richly rough with great brown burs, which are opened into several segments so as to show the wholesome-colored nuts peeping forth, ready to fall on the slightest jar. The individual nuts are very interesting, of various forms, according to the season and the number in a bur. The base of each where it was joined to the bur is marked with an irregular dark figure on a light ground, oblong or crescent-shaped commonly, like a spider or other insect with a dozen legs, while the upper or small end tapers into a little white, woolly spire crowned with a star, and the whole upper slopes of the nuts are covered with the same hoary wool, which reminds you of the frosts on whose advent they peep forth. Each nut stretches forth a little starry hand at the end of a slender arm — and by this, when mature, you may pull it out without fear of prickles. Within this thick prickly bur the nuts are about as safe until they are quite mature, as a porcupine behind its spines. Yet I see where the squirrels have gnawed through many closed burs and left the pieces on the stumps. The late goldenrod (S.",,1,,,
